"Site","stream","position","season","biomass_site_mean","number_site_mean","biomass_site_sd","number_site_sd","number_EPT","number_dip","number_fam","air temperature","Cl","conductivity","Cu","Flow","NH4","NO2","NO3","o2_mgL","o2_perc","pH","PO4","SO4","water_temp","max_sumTU_ms_pyr","Banks","curvature","depth","Distance field","distance housing","distance landscape-level","distance street","Flooding of shore","height landscape-level","Islands/Banks","land use: Agriculture","land use: Fallow","land use: Forest","land use: Housing","land use: Meadows & Pastures","land use: Other","max_width","min_width","pools","riffles","shading","shore vegetation cover:  Agriculture","shore vegetation cover:  Vegetation Free","shore vegetation cover: Forest","shore vegetation cover: Meadow","shore vegetation cover: Reed","shore vegetation cover: Shrubbery","shore vegetation cover: Tall Forbs","shore vegetation height:  Agriculture","shore vegetation height:  Meadow","shore vegetation height: Forest","shore vegetation height: Reed","shore vegetation height: Shrubbery","shore vegetation height: Tall Forbs","width","biomass_Diptera","number_Diptera","sd_biomass_Diptera","sd_number_Diptera","biomass_Ephemeroptera","number_Ephemeroptera","sd_number_Ephemeroptera","sd_biomass_Ephemeroptera","biomass_Trichoptera","number_Trichoptera","sd_biomass_Trichoptera","sd_number_Trichoptera","biomass_Plecoptera","number_Plecoptera","sd_biomass_Plecoptera","sd_number_Plecoptera"
"Dierbach_forest","Dierbach","forest","autumn",2.92480571428571,13.9928571428571,4.01511393031523,9.244005318732,3,10,10,22.9333333333333,5.66666666666667,102,0.05,0.162222222222222,0.1,0.00666666666666667,2.23333333333333,9.78,95.45,6.79333333333333,0.633333333333333,10,13.4666666666667,-7,6,NA,3.33333333333333,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,68,28,20,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1.50513928571429,13.4880952380952,1.81321637793253,9.22014351532929,0.0338369047619048,0.202380952380952,0.141392713282858,0.744468135135953,0.934011904761905,0.0833333333333333,3.83637118429921,0.309320242379446,0.451817619047619,0.219047619047619,1.29187309754049,0.511869692412612
"Dierbach_forest","Dierbach","forest","spring",4.99103895833333,17.89375,8.8948564433966,23.0638500323648,4,10,10,12.925,10.3333333333333,130.75,0.1,0.145,0.0666666666666667,0.0133333333333333,2.33333333333333,10.1166666666667,92.8666666666667,7.16,0.166666666666667,18.6666666666667,9.525,-5.91095130675757,6,3,4.33333333333333,NA,1500,1.5,300,1,1.5,3,NA,NA,100,NA,NA,NA,140,50,20,80,85,NA,NA,100,NA,NA,NA,NA,20,20,22.5,20,20,20,98.3333333333333,3.418786875,16.0916666666667,8.09023267286491,22.3862332887919,0.29926875,0.1875,0.800802825884962,0.447514041348762,0,0,0,0,1.27298333333333,1.61458333333333,2.32452331505241,3.19734362751354
"Dierbach_forest","Dierbach","forest","summer",2.35771621621622,15.3423423423423,2.85602067709279,14.1539085223762,5,11,14,18.225,8.66666666666667,120.25,0.05,0.201666666666667,0.266666666666667,0.00833333333333333,3.16666666666667,9.8425,95.9,6.67,0.566666666666667,14.6666666666667,13.9,-7,5,6,8,NA,575,1,40,2,2,1,NA,NA,97.5,5,NA,NA,141,35,20,80,85,NA,10,50,NA,NA,20,30,NA,NA,20,NA,5,1,78.6666666666667,1.61757405405405,15.0108108108108,2.39168219877821,14.2127617277313,0.0266342342342342,0.0900900900900901,0.0960292674928598,0.310799930174697,0.356852252252252,0.0630630630630631,1.65255922880989,0.270320315686914,0.356655675675676,0.178378378378378,1.11005176346906,0.502844760192301
"Dierbach_vine","Dierbach","vine","autumn",0.706391666666667,4.62666666666667,0.99673181755227,3.3807435425635,1,8,8,23.0666666666667,8.66666666666667,196.666666666667,0.1,0.161111111111111,0.05,0.015,1.46666666666667,8.73,92.55,7.55333333333333,0.666666666666667,13.6666666666667,18.5333333333333,-0.576219619366655,4,NA,3.66666666666667,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,60,40,40,60,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6666666666667,0.558271666666667,4.58666666666667,0.853680480870506,3.43273542741352,0,0,0,0,0.14812,0.04,0.662412777654538,0.178885438199983,0,0,0,0
"Dierbach_vine","Dierbach","vine","spring",2.19610266666667,28.0088888888889,1.98132882443106,30.272568837319,2,8,8,14.45,15.3333333333333,288.25,0.0666666666666667,0.15,0.133333333333333,0.02,2.3,9.52,91.2666666666667,8.0225,0.233333333333333,18,10.875,-3.36552968114965,4,6,9.66666666666667,25,1500,0.85,700,2,1.05,1,72.5,10,5,NA,20,NA,100,60,30,70,50,NA,NA,NA,NA,80,50,20,NA,NA,NA,2,2.5,1,76.3333333333333,2.16885933333333,27.9422222222222,1.99136199931986,30.2736522058365,0.01428,0.0333333333333333,0.0782147812117377,0.182574185835055,0,0,0,0,0.0129633333333333,0.0333333333333333,0.071003100871253,0.182574185835055
"Dierbach_vine","Dierbach","vine","summer",0.850430925925926,11.0555555555556,0.995819958963263,9.36113546226403,2,9,8,20.825,12.3333333333333,205.5,0.05,0.1875,0.05,0.0133333333333333,1.83333333333333,8.76666666666667,90.7,7.7275,0.833333333333333,10,16.55,-2.86872853461079,1,6,6.66666666666667,7.5,1000,1,500,2,1,1,65,27.5,NA,NA,20,NA,100,46,40,60,60,NA,NA,NA,7.5,10,75,7.5,NA,1,NA,2,3,1,75.3333333333333,0.800752222222222,10.9537037037037,0.944426402226694,9.27995374159851,0.0294342592592593,0.0648148148148148,0.142681385864219,0.27394176700671,0.0202444444444444,0.037037037037037,0.121466666666667,0.222222222222222,0,0,0,0
"Hainbach_forest","Hainbach","forest","autumn",2.22508259259259,9.91851851851852,4.98618182583301,16.4979468804721,1,5,5,27.75,4.33333333333333,119.5,0.0666666666666667,0.0816666666666667,0.05,0.00666666666666667,0.5,9.345,97.75,6.73,0.533333333333333,15,16.5,-0.558865798935674,3,NA,7,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,92,30,60,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1.9419937037037,9.86296296296296,4.95819447106892,16.5313957154017,0,0,0,0,0.283088888888889,0.0555555555555556,1.20104443807139,0.235702260395516,0,0,0,0
"Hainbach_forest","Hainbach","forest","spring",2.38566261904762,8.05952380952381,4.1180460931704,11.4843008144572,2,5,5,14.025,7.33333333333333,123.75,0.116666666666667,0.240833333333333,0.0666666666666667,0.00833333333333333,1,10.6566666666667,97.8666666666667,7.7625,0.433333333333333,22.3333333333333,8.875,-3.35722093948881,4,4,12,NA,NA,1.25,25,2,2,1,NA,NA,100,NA,NA,NA,140,90,30,70,40,NA,NA,80,70,NA,25,NA,NA,0.1,15,NA,2.75,NA,105.666666666667,1.29657523809524,7.5547619047619,2.19629522117832,10.552132834106,0.947009523809524,0.404761904761905,2.9204602078132,1.13441177033203,0,0,0,0,0.142077857142857,0.1,0.460198433797109,0.295647437681113
"Hainbach_forest","Hainbach","forest","summer",0.821694,5.03555555555556,2.07079978656431,4.30694826072498,4,6,7,19.4,4.66666666666667,120.5,0.05,0.206666666666667,0.05,0.0116666666666667,1.13333333333333,9.97333333333333,100.033333333333,7.3025,0.733333333333333,23.6666666666667,14.3,-3.43109626370988,1,6,9.66666666666667,NA,1000,1.25,65,2,2,1,NA,NA,100,NA,NA,NA,120,60,20,80,30,NA,40,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,1,95,0.177540444444444,4.44222222222222,0.32093408436958,4.30273844311201,0.386838888888889,0.4,1.15386049091595,0.789781481975888,0.257314666666667,0.193333333333333,0.999824203567577,0.54198443375874,0,0,0,0
"Hainbach_vine","Hainbach","vine","autumn",3.80850333333333,21.5481481481481,6.62642387845299,22.2686104065973,3,6,8,29.8666666666667,10,188.333333333333,0.05,0.113333333333333,0.0833333333333333,0.0133333333333333,0.933333333333333,7.56333333333333,84.8333333333333,6.69,0.966666666666667,23.6666666666667,20.1333333333333,-0.518552785731867,5,NA,7,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,98,60,20,80,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,2.48744888888889,21.0037037037037,3.19357113807082,21.9335952332206,0.394026666666667,0.377777777777778,0.810140483155273,0.802935789682426,0.927027777777778,0.166666666666667,3.87417663537999,0.514495755427527,0,0,0,0
